index,Date,Country,Cumulative number of case(s),Number of deaths,Number recovered
456,2003-04-17,Brazil,2,0,0
457,2003-04-17,Canada,126,12,46
458,2003-04-17,China,1457,65,1107
459,2003-04-17,"Hong Kong SAR, China",1297,65,272
460,2003-04-17,"Taiwan, China",27,0,10
461,2003-04-17,France,5,0,1
462,2003-04-17,Germany,6,0,4
463,2003-04-17,India,1,0,0
464,2003-04-17,Indonesia,1,0,0
465,2003-04-17,Italy,3,0,2
466,2003-04-17,Japan,2,0,0
467,2003-04-17,Kuwait,1,0,0
468,2003-04-17,Malaysia,5,1,0
469,2003-04-17,Mongolia,3,0,3
470,2003-04-17,Philippines,1,0,1
471,2003-04-17,Republic of Ireland,1,0,1
472,2003-04-17,Romania,1,0,1
473,2003-04-17,Singapore,167,15,91
474,2003-04-17,South Africa,1,0,0
475,2003-04-17,Spain,1,0,0
476,2003-04-17,Sweden,1,0,0
477,2003-04-17,Switzerland,1,0,1
478,2003-04-17,Thailand,8,2,5
479,2003-04-17,United Kingdom,6,0,3
480,2003-04-17,United States,199,0,0
481,2003-04-17,Viet Nam,63,5,46
482,2003-04-18,Australia,3,0,3
483,2003-04-18,Brazil,2,0,0
484,2003-04-18,Canada,132,12,54
485,2003-04-18,China,1512,65,1140
486,2003-04-18,"Hong Kong SAR, China",1358,81,363
487,2003-04-18,"Taiwan, China",29,0,17
488,2003-04-18,France,5,0,1
489,2003-04-18,Germany,6,0,4
490,2003-04-18,India,1,0,1
491,2003-04-18,Indonesia,1,0,0
492,2003-04-18,Italy,3,0,2
493,2003-04-18,Japan,4,0,0
494,2003-04-18,Kuwait,1,0,0
495,2003-04-18,Malaysia,5,1,0
496,2003-04-18,Mongolia,3,0,3
497,2003-04-18,Philippines,1,0,1
498,2003-04-18,Republic of Ireland,1,0,1
499,2003-04-18,Romania,1,0,1
500,2003-04-18,Singapore,177,16,100
501,2003-04-18,South Africa,1,0,0
502,2003-04-18,Spain,1,0,0
503,2003-04-18,Sweden,3,0,0
504,2003-04-18,Switzerland,1,0,1
505,2003-04-18,Thailand,7,2,6
506,2003-04-18,United Kingdom,6,0,5
507,2003-04-18,United States,220,0,0
508,2003-04-18,Viet Nam,63,5,46
509,2003-04-19,Australia,3,0,3
510,2003-04-19,Brazil,2,0,0
511,2003-04-19,Canada,132,12,54
512,2003-04-19,China,1512,65,1140
513,2003-04-19,"Hong Kong SAR, China",1358,81,363
514,2003-04-19,"Taiwan, China",29,0,17
515,2003-04-19,France,5,0,1
516,2003-04-19,Germany,6,0,4
517,2003-04-19,India,1,0,1
518,2003-04-19,Indonesia,1,0,0
519,2003-04-19,Italy,3,0,2
520,2003-04-19,Japan,4,0,0
521,2003-04-19,Kuwait,1,0,0
522,2003-04-19,Malaysia,5,1,0
523,2003-04-19,Mongolia,3,0,3
524,2003-04-19,Philippines,1,0,1
525,2003-04-19,Republic of Ireland,1,0,1
526,2003-04-19,Romania,1,0,1
527,2003-04-19,Singapore,177,16,100
528,2003-04-19,South Africa,1,0,0
529,2003-04-19,Spain,1,0,0
530,2003-04-19,Sweden,3,0,0
531,2003-04-19,Switzerland,1,0,1
532,2003-04-19,Thailand,7,2,6
533,2003-04-19,United Kingdom,6,0,5
534,2003-04-19,United States,220,0,0
535,2003-04-19,Viet Nam,63,5,46
536,2003-04-21,Australia,3,0,3
537,2003-04-21,Brazil,2,0,0
538,2003-04-21,Canada,132,12,54
539,2003-04-21,China,1959,86,1187
540,2003-04-21,"Hong Kong SAR, China",1402,94,436
541,2003-04-21,"Taiwan, China",29,0,17
542,2003-04-21,France,5,0,1
543,2003-04-21,Germany,6,0,4
544,2003-04-21,India,1,0,1
545,2003-04-21,Indonesia,1,0,0
546,2003-04-21,Italy,3,0,2
547,2003-04-21,Japan,5,0,0
548,2003-04-21,Kuwait,1,0,1
549,2003-04-21,Malaysia,6,1,0
550,2003-04-21,Mongolia,3,0,3
551,2003-04-21,Philippines,2,1,1
552,2003-04-21,Republic of Ireland,1,0,1
553,2003-04-21,Romania,1,0,1
554,2003-04-21,Singapore,178,16,104
555,2003-04-21,South Africa,1,0,0
556,2003-04-21,Spain,1,0,0
557,2003-04-21,Sweden,3,0,0
558,2003-04-21,Switzerland,1,0,1
559,2003-04-21,Thailand,7,2,5
560,2003-04-21,United Kingdom,6,0,5
561,2003-04-21,United States,39,0,0
562,2003-04-21,Viet Nam,63,5,46
563,2003-04-22,Australia,3,0,3
564,2003-04-22,Brazil,2,0,0
565,2003-04-22,Canada,139,13,65
566,2003-04-22,China,2001,92,1201
567,2003-04-22,"Hong Kong SAR, China",1434,99,461
568,2003-04-22,"Taiwan, China",29,0,21
569,2003-04-22,France,5,0,1
570,2003-04-22,Germany,7,0,6
571,2003-04-22,India,1,0,1
572,2003-04-22,Indonesia,1,0,0
573,2003-04-22,Italy,3,0,2
574,2003-04-22,Japan,2,0,0
575,2003-04-22,Kuwait,1,0,1
576,2003-04-22,Malaysia,6,1,0
577,2003-04-22,Mongolia,3,0,3
578,2003-04-22,Philippines,2,1,1
579,2003-04-22,Republic of Ireland,1,0,1
580,2003-04-22,Romania,1,0,1
581,2003-04-22,Singapore,186,16,110
582,2003-04-22,South Africa,1,0,0
583,2003-04-22,Spain,1,0,0
